"RunID","FishingYear","FisheryID","TimeStep","MinimumSize","MaximumSize"
1,1980,30,2,620,0
1,1980,31,2,520,0
1,1980,32,2,620,0
1,1980,33,2,520,0
1,1980,34,2,620,0
1,1980,35,2,520,0
1,1980,36,2,480,0
1,1980,37,2,100,0
1,1980,38,2,100,0
1,1980,39,2,100,0
1,1980,40,2,100,0
1,1980,41,2,520,0
1,1980,42,2,480,0
1,1980,43,2,100,0
1,1980,44,2,100,0
1,1980,45,2,480,0
1,1980,46,2,100,0
1,1980,47,2,100,0
1,1980,48,2,480,0
1,1980,49,2,100,0
1,1980,50,2,100,0
1,1980,51,2,100,0
1,1980,52,2,100,0
1,1980,53,2,480,0
1,1980,54,2,480,0
1,1980,55,2,100,0
1,1980,56,2,480,0
1,1980,57,2,480,0
1,1980,58,2,100,0
1,1980,59,2,100,0
1,1980,60,2,480,0
1,1980,61,2,100,0
1,1980,62,2,480,0
1,1980,63,2,100,0
1,1980,64,2,480,0
1,1980,65,2,100,0
1,1980,66,2,100,0
1,1980,67,2,480,0
1,1980,68,2,100,0
1,1980,69,2,100,0
1,1980,70,2,100,0
1,1980,71,2,100,0
1,1980,72,2,100,0
1,1980,73,2,100,0
1,1980,1,3,670,0
1,1980,2,3,100,0
1,1980,3,3,670,0
1,1980,4,3,100,0
1,1980,5,3,100,0
1,1980,6,3,100,0
1,1980,7,3,100,0
1,1980,8,3,450,0
1,1980,9,3,620,0
1,1980,10,3,620,0
1,1980,11,3,620,0
1,1980,12,3,480,0
1,1980,13,3,450,0
1,1980,14,3,450,0
1,1980,15,3,450,0
1,1980,16,3,670,0
1,1980,17,3,570,0
1,1980,18,3,570,0
1,1980,19,3,100,0
1,1980,20,3,670,0
1,1980,21,3,670,0
1,1980,22,3,570,0
1,1980,23,3,100,0
1,1980,24,3,100,0
1,1980,25,3,100,0
1,1980,26,3,670,0
1,1980,27,3,570,0
1,1980,28,3,100,0
1,1980,29,3,570,0
1,1980,30,3,620,0
1,1980,31,3,520,0
1,1980,32,3,620,0
1,1980,33,3,520,0
1,1980,34,3,620,0
1,1980,35,3,520,0
1,1980,36,3,480,0
1,1980,37,3,100,0
1,1980,38,3,100,0
1,1980,39,3,100,0
1,1980,40,3,100,0
1,1980,41,3,520,0
1,1980,42,3,480,0
1,1980,43,3,100,0
1,1980,44,3,100,0
1,1980,45,3,480,0
1,1980,46,3,100,0
1,1980,47,3,100,0
1,1980,48,3,480,0
1,1980,49,3,100,0
1,1980,50,3,100,0
1,1980,51,3,100,0
