"ID","BasePeriodID","BPCatch","Flag","FisheryID","TimeStep","ModelStockProportion"
880,3,759,1,57,2,1.00
881,3,4418,1,57,3,1.00
882,3,33,1,58,1,1.00
883,3,0,1,58,2,1.00
884,3,9,1,58,3,1.00
885,3,33,1,59,1,1.00
886,3,0,1,59,2,1.00
887,3,9,1,59,3,1.00
888,3,1,1,60,1,1.00
889,3,0,1,60,2,1.00
890,3,596,1,60,3,1.00
891,3,10,1,61,1,1.00
892,3,0,1,61,2,1.00
893,3,431,1,61,3,1.00
894,3,1,1,62,1,1.00
895,3,0,1,62,2,1.00
896,3,266,1,62,3,1.00
897,3,1,1,63,1,1.00
898,3,0,1,63,2,1.00
899,3,2642,1,63,3,1.00
900,3,426,1,64,1,1.00
901,3,1,1,64,2,1.00
902,3,815,1,64,3,1.00
903,3,1,1,65,1,1.00
904,3,0,1,65,2,1.00
905,3,2567,1,65,3,1.00
906,3,1,1,66,1,1.00
907,3,0,1,66,2,1.00
908,3,2567,1,66,3,1.00
909,3,110,1,67,1,1.00
910,3,202,1,67,2,1.00
911,3,1144,1,67,3,1.00
912,3,22,1,68,1,1.00
913,3,0,1,68,2,1.00
914,3,2924,1,68,3,1.00
915,3,22,1,69,1,1.00
916,3,0,1,69,2,1.00
917,3,2924,1,69,3,1.00
918,3,8,1,70,1,1.00
919,3,0,1,70,2,1.00
920,3,2012,1,70,3,1.00
921,3,8,1,71,1,1.00
922,3,0,1,71,2,1.00
923,3,2012,1,71,3,1.00
