"ID","BasePeriodID","Species","StockID","Age","FisheryID","TimeStep","Catch","Adjusted"
44074.95,3,1,10,4,36,1,25.37,
44074.95,3,1,14,5,74,3,88.27,
44074.95,3,1,16,4,22,2,9.64,
44074.95,3,1,19,4,20,2,5.14,
44074.95,3,1,19,4,20,3,17.72,
44074.95,3,1,20,5,11,3,17.46,
44074.95,3,1,22,3,18,2,10.25,
44074.95,3,1,23,4,2,3,28.10,
44074.95,3,1,23,4,16,3,40.24,
44074.95,3,1,23,5,1,2,24.23,
44074.95,3,1,23,5,1,3,168.62,
44074.95,3,1,24,2,2,3,4.07,
44074.95,3,1,24,5,3,3,10.26,
44074.95,3,1,30,3,22,3,97.88,
44074.95,3,1,39,4,35,1,4.50,
44074.90,3,1,5,4,53,3,22.03,
44074.90,3,1,5,4,54,3,24.52,
44074.90,3,1,5,4,60,3,1.94,
44074.90,3,1,18,4,15,3,5.35,
44074.90,3,1,18,4,16,2,1.53,
44074.95,3,1,1,3,58,1,1.00,
44074.95,3,1,1,3,60,3,2.30,
44074.95,3,1,1,3,61,3,3.61,
44074.95,3,1,2,4,16,2,1.51,
44074.95,3,1,2,4,17,2,20.83,
44074.95,3,1,7,3,42,3,50.68,
44074.95,3,1,10,4,36,3,6.04,
44074.95,3,1,11,4,41,1,39.01,
44074.95,3,1,16,4,22,3,5.83,
44074.95,3,1,16,4,30,2,11.09,
44074.95,3,1,19,4,22,3,28.44,
44074.95,3,1,20,5,17,2,6.21,
44074.95,3,1,23,4,3,2,53.20,
44074.95,3,1,23,4,17,2,95.55,
44074.95,3,1,23,4,17,3,67.12,
44074.95,3,1,23,5,2,3,9.07,
44074.95,3,1,23,5,3,2,2.42,
44074.95,3,1,39,4,41,2,30.19,
44074.95,3,1,39,4,74,3,7327.23,
44074.95,3,1,1,3,64,1,8.52,
44074.95,3,1,2,4,17,3,13.45,
44074.95,3,1,7,3,43,3,22.27,
44074.95,3,1,10,4,41,1,1.16,
44074.95,3,1,10,4,41,2,2.59,
44074.95,3,1,19,4,25,3,14.99,
44074.95,3,1,20,5,17,3,2.43,
44074.95,3,1,23,4,3,3,68.47,
44074.95,3,1,30,3,26,2,93.73,
44074.95,3,1,39,5,1,1,15.04,
44074.90,3,1,5,4,74,3,1771.29,
44074.90,3,1,5,5,1,1,19.18,
44074.90,3,1,5,5,1,2,18.90,
44074.90,3,1,18,2,11,2,9.44,
44074.90,3,1,18,4,36,1,12.49,
44074.95,3,1,1,3,74,3,5216.79,
44074.95,3,1,1,4,1,1,8.55,
44074.95,3,1,2,4,36,1,39.98,
44074.95,3,1,2,4,45,1,7.85,
44074.95,3,1,7,3,45,1,2.82,
44074.95,3,1,7,3,53,3,19.04,
44074.95,3,1,10,4,42,3,9.78,
44074.95,3,1,16,2,2,3,1.03,
44074.95,3,1,16,4,36,1,57.12,
44074.95,3,1,16,4,36,3,20.00,
44074.95,3,1,19,4,30,2,6.39,
44074.95,3,1,20,5,22,3,5.39,
44074.95,3,1,30,3,26,3,15.09,
44074.95,3,1,39,5,1,3,200.83,
44074.90,3,1,5,5,1,3,8.25,
44074.90,3,1,5,5,3,2,1.01,
44074.90,3,1,5,5,3,3,1.20,
44074.90,3,1,18,2,11,3,6.72,
44074.90,3,1,18,4,41,1,1.36,
44074.90,3,1,18,4,42,1,17.03,
44074.95,3,1,1,4,1,3,1.52,
44074.95,3,1,1,4,9,3,20.64,
44074.95,3,1,2,4,54,1,31.55,
44074.95,3,1,2,4,54,3,3.98,
44074.95,3,1,10,4,45,1,6.28,
44074.95,3,1,19,4,42,3,3.28,
44074.95,3,1,30,3,27,3,33.15,
44074.95,3,1,39,5,3,2,17.21,
