"ID","BasePeriodID","FisheryID","TimeStep","TerminalFlag"
2,3,28,1,1
3,3,28,2,1
4,3,28,3,1
5,3,28,4,1
6,3,39,3,1
7,3,40,3,1
8,3,46,2,1
9,3,46,3,1
10,3,47,2,1
11,3,47,3,1
12,3,48,3,1
13,3,49,3,1
14,3,50,3,1
15,3,51,3,1
16,3,52,3,1
17,3,58,3,1
18,3,59,3,1
19,3,60,3,1
20,3,61,3,1
21,3,62,3,1
22,3,63,3,1
23,3,65,3,1
24,3,66,3,1
25,3,68,3,1
26,3,69,3,1
27,3,70,3,1
28,3,71,3,1
29,3,72,1,1
30,3,72,2,1
31,3,72,3,1
32,3,72,4,1
33,3,73,1,1
34,3,73,2,1
35,3,73,3,1
36,3,73,4,1
37,3,25,3,1
