"ID","BasePeriodID","BPCatch","Flag","FisheryID","TimeStep","ModelStockProportion"
406,3,1,1,65,1,1.00
407,3,0,1,65,2,1.00
408,3,2879,1,65,3,1.00
409,3,1,1,66,1,1.00
410,3,0,1,66,2,1.00
411,3,2879,1,66,3,1.00
412,3,132,1,67,1,1.00
413,3,258,1,67,2,1.00
414,3,1467,1,67,3,1.00
415,3,23,1,68,1,1.00
416,3,0,1,68,2,1.00
417,3,3146,1,68,3,1.00
418,3,23,1,69,1,1.00
419,3,0,1,69,2,1.00
420,3,3146,1,69,3,1.00
421,3,9,1,70,1,1.00
422,3,0,1,70,2,1.00
423,3,2119,1,70,3,1.00
424,3,9,1,71,1,1.00
425,3,0,1,71,2,1.00
426,3,2119,1,71,3,1.00
