"ID","FishingYear","FishScalar","TimeStep","FisheryID","CalibrationID"
15680,1996,0.00,2,44,
15681,1996,1.76,3,44,
15682,1996,3.41,1,45,
15683,1996,0.00,2,45,
15684,1996,0.00,3,45,
15685,1996,0.00,1,46,
15686,1996,0.00,2,46,
15687,1996,0.00,3,46,
15688,1996,4.77,1,47,
15689,1996,0.00,2,47,
15690,1996,0.00,3,47,
15691,1996,0.00,1,48,
15692,1996,0.00,2,48,
15693,1996,3.31,3,48,
15694,1996,0.00,1,49,
15695,1996,0.00,2,49,
15696,1996,0.00,3,49,
15697,1996,0.00,1,50,
15698,1996,0.00,2,50,
15699,1996,0.00,3,50,
15700,1996,0.00,1,51,
15701,1996,0.00,2,51,
15702,1996,0.00,3,51,
15703,1996,10.27,1,52,
15704,1996,0.00,2,52,
15705,1996,1.92,3,52,
15706,1996,6.20,1,53,
15707,1996,586.30,2,53,
15708,1996,0.31,3,53,
15709,1996,1.69,1,54,
15710,1996,191.23,2,54,
15711,1996,0.02,3,54,
15712,1996,0.00,1,55,
15713,1996,0.00,2,55,
15714,1996,0.00,3,55,
15715,1996,3.80,1,56,
15716,1996,74.84,2,56,
15717,1996,3.02,3,56,
15718,1996,5.60,1,57,
15719,1996,2.51,2,57,
15720,1996,3.10,3,57,
15721,1996,1.59,1,58,
15722,1996,0.00,2,58,
15723,1996,29.38,3,58,
15724,1996,4.21,1,59,
15725,1996,0.00,2,59,
15726,1996,51.45,3,59,
15727,1996,0.00,1,60,
15728,1996,0.00,2,60,
15729,1996,0.00,3,60,
15730,1996,1.88,1,61,
15731,1996,0.00,2,61,
15732,1996,7.71,3,61,
15733,1996,0.00,1,62,
15734,1996,0.00,2,62,
15735,1996,0.00,3,62,
15736,1996,152.89,1,63,
15737,1996,0.00,2,63,
15738,1996,0.83,3,63,
15739,1996,1.22,1,64,
15740,1996,93.86,2,64,
15741,1996,1.08,3,64,
15742,1996,0.00,1,65,
15743,1996,0.00,2,65,
15744,1996,0.00,3,65,
15745,1996,0.00,1,66,
15746,1996,0.00,2,66,
15747,1996,0.00,3,66,
15748,1996,5.17,1,67,
15749,1996,0.75,2,67,
