"ID","BasePeriodID","FisheryID","TimeStep","ShakerMortRate"
306,3,58,3,0.30
307,3,58,4,0.30
308,3,59,1,0.30
309,3,59,2,0.30
310,3,59,3,0.30
311,3,59,4,0.30
312,3,60,1,0.20
313,3,60,2,0.20
314,3,60,3,0.20
315,3,60,4,0.20
316,3,61,1,0.30
317,3,61,2,0.30
318,3,61,3,0.30
319,3,61,4,0.30
320,3,62,1,0.20
321,3,62,2,0.20
322,3,62,3,0.20
323,3,62,4,0.20
324,3,63,1,0.30
325,3,63,2,0.30
326,3,63,3,0.30
327,3,63,4,0.30
328,3,64,1,0.20
329,3,64,2,0.20
330,3,64,3,0.20
331,3,64,4,0.20
332,3,65,1,0.30
333,3,65,2,0.30
334,3,65,3,0.30
335,3,65,4,0.30
336,3,66,1,0.30
337,3,66,2,0.30
338,3,66,3,0.30
339,3,66,4,0.30
340,3,67,1,0.20
341,3,67,2,0.20
342,3,67,3,0.20
343,3,67,4,0.20
344,3,68,1,0.30
345,3,68,2,0.30
346,3,68,3,0.30
347,3,68,4,0.30
348,3,69,1,0.30
349,3,69,2,0.30
350,3,69,3,0.30
351,3,69,4,0.30
352,3,70,1,0.30
353,3,70,2,0.30
354,3,70,3,0.30
355,3,70,4,0.30
356,3,71,1,0.30
357,3,71,2,0.30
358,3,71,3,0.30
359,3,71,4,0.30
360,3,72,1,0.20
361,3,72,2,0.20
362,3,72,3,0.20
363,3,72,4,0.20
364,3,73,1,0.30
365,3,73,2,0.30
366,3,73,3,0.30
367,3,73,4,0.30
